OBJECTID,ARTWORK_NAME,ARTIST,MEDIUM,LOCATION_DETAIL,ADDRESS,WARD,LATITUDE,LONGITUDE,PIC_URL,THUMB_URL
5459,Atomic Passage 2009,Design Team Atomic Industries  Erin Stellmon Aaron Shepherd Adam Morey and Danielle Kelly,Art Furniture fabricated of cast concrete and glass composite inlay,Casino Center between Charleston and Colorado,Ward 3 (CLV Collection),,36.1574284496,-115.152349695,https://storage.googleapis.com/gisworkspace/public/imagery/historicsites/AtomicPassage.jpg,https://storage.googleapis.com/gisworkspace/public/imagery/historicsites/AtomicPassage.jpg
5447,Bearpoppy 2008,Jeff Fulmer,Hand cut powder-coated steel sculptures,Centennial Hills Community Center YMCA 6601 N Buffalo Dr,Ward 6 (CLV Collection),,36.2833185694,-115.262982009,https://storage.googleapis.com/gisworkspace/public/imagery/historicsites/BearPoppy.jpg,https://storage.googleapis.com/gisworkspace/public/imagery/historicsites/BearPoppy.jpg
5442,El Jardin 2006,Hank Saxe and Cynthia Patterson,Ceramic tile,Southeast corner of Stewart and Eastern,East Las Vegas Community/Senior Center 250 N Eastern Ave Ward 3 (CLV Collection),,36.1658037602,-115.113908721,https://storage.googleapis.com/gisworkspace/public/imagery/historicsites/ElJardin.jpg,https://storage.googleapis.com/gisworkspace/public/imagery/historicsites/ElJardin.jpg
5476,Las Vegas Townsite Auction 1905 1949 ,Crosby DeMoss,Oil on Canvas,2nd Floor City Hall Council Chambers 495 S Main Street,Ward 3 (CLV Collection),,36.1668986848,-115.148410375,https://storage.googleapis.com/gisworkspace/public/imagery/historicsites/LasVegasTownsiteAuction1905.JPG,https://storage.googleapis.com/gisworkspace/public/imagery/historicsites/LasVegasTownsiteAuction1905.JPG
5446,Marble Manor Mural 2008,Mark Melnick and Dayo Adelaja,Painted outdoor murals,Playground at Marble Manor Community Center 912 Gerson Ave,Ward 5 (CLV Collection,,36.1798835692,-115.153384731,https://storage.googleapis.com/gisworkspace/public/imagery/historicsites/MarbleManorMuralDayoAdelaja.jpg,https://storage.googleapis.com/gisworkspace/public/imagery/historicsites/MarbleManorMuralDayoAdelaja.jpg
5457,Paintbrush Gateway 2011,Dennis Oppenheim,Large-scale sculpture of galvanized steel aluminum perforated metal acrylic rod LED and string lights with lighted programming feature,Located on the north-east corner of 4th Street and Charleston,Ward 3 (CLV Collection),,36.1590429745,-115.148582748,https://storage.googleapis.com/gisworkspace/public/imagery/historicsites/PaintbrushGateway2.jpg,https://storage.googleapis.com/gisworkspace/public/imagery/historicsites/PaintbrushGateway2.jpg
5458,Paintbrush Gateway 2011,Dennis Oppenheim,Large-scale sculpture of galvanized steel aluminum perforated metal acrylic rod LED and string lights with lighted programming feature,Located on the south-west corner of Casino Center and Charleston,Ward 3 (CLV Collection),,36.1586667586,-115.152402831,https://storage.googleapis.com/gisworkspace/public/imagery/historicsites/PaintbrushGateway1.jpg,https://storage.googleapis.com/gisworkspace/public/imagery/historicsites/PaintbrushGateway1.jpg
5455,Pioneer Trail Banners 2006,Vicki Richardson and  Adolfo Gonzalez,45 vinyl banners 16 markers and signage along the Pioneer Trail from the Springs Preserve to the Old Mormon Fort,Brochure http://www.lasvegasnevada.gov/files/PioneerTrailBroch.pdf,Ward 1 (CLV Colllection),,36.1718657252,-115.19244602,https://storage.googleapis.com/gisworkspace/public/imagery/historicsites/PioneerTrail.JPG,https://storage.googleapis.com/gisworkspace/public/imagery/historicsites/PioneerTrail.JPG
5460,Poets Bridge 2002,Curated by Gregory Crosby Dayvid Figler and Debra Kohen,Lines of poetry inlaid into concrete by Nevada and Las Vegas poets,Located north of the Historic 5th Street School between 4th St and Las Vegas Blvd,Ward 3 (CLV Collection),,36.1660571617,-115.143535787,https://storage.googleapis.com/gisworkspace/public/imagery/historicsites/PoetsBridge.jpg,https://storage.googleapis.com/gisworkspace/public/imagery/historicsites/PoetsBridge.jpg
5421,Rivalis 7 2012,Sean Russell,Oil pastel and digital print on recycled fabric,7th Floor elevator well City Hall 495 S Main Street,Ward 3 (CLV Collection),,36.1675432048,-115.148329172,https://storage.googleapis.com/gisworkspace/public/imagery/historicsites/Rivalis7.JPG,https://storage.googleapis.com/gisworkspace/public/imagery/historicsites/Rivalis7.JPG
5426,Stop n Glow Bus Stop Shelter 2010,Catherine Borg,Bus stop shelter artwork on acrylic wind-screen panels for the Downtown Rapid Transit Stations,Paradise Rd and Convention Center Dr,Project completed in collaboration with RTC and Clark County,(Located in the County),36.1331471801,-115.155072288,https://storage.googleapis.com/gisworkspace/public/imagery/historicsites/StopandGlowCarherinBorg.jpg,https://storage.googleapis.com/gisworkspace/public/imagery/historicsites/StopandGlowCarherinBorg.jpg
5443,Statue of Rafael Rivera 1978,Jim Casey,Copper paint coated fiberglass,Front of building at the Latin Chamber of Commerce Community Foundation,Rafael Rivera Community Center,2800 E Stewart Ave,36.1651314372,-115.108392516,https://storage.googleapis.com/gisworkspace/public/imagery/historicsites/FormerRafaelRiveraCommunityCenter.jpg,https://storage.googleapis.com/gisworkspace/public/imagery/historicsites/FormerRafaelRiveraCommunityCenter.jpg
5468,Nautilus 2002,Larger Than Life Inc,Painted Outdoor Mural,Back picnic area,City of Las Vegas Municipal Pool,431 E Bonanza Road,36.174922077,-115.139769268,https://storage.googleapis.com/gisworkspace/public/imagery/historicsites/Nautilus.jpg,https://storage.googleapis.com/gisworkspace/public/imagery/historicsites/Nautilus.jpg
5445,Portrait of Sammy Davis Jr 1997,Constancia Gafeney,Cast Bronze,Courtyard inside the Sammy Davis Festival Plaza,Open to public only during performances,730 Twin Lakes Dr,36.178738091,-115.187500683,https://storage.googleapis.com/gisworkspace/public/imagery/historicsites/PortraitOfSammyDavisJr.jpg,https://storage.googleapis.com/gisworkspace/public/imagery/historicsites/PortraitOfSammyDavisJr.jpg
5473,Sammy Davis Garden Benches  1999 ,Wayne Littlejohn,Cast concrete,Garden area inside the Lorenzi Park Sammy Davis Plaza,Open to public only during performances,730 Twin Lakes Drive,36.1785246761,-115.187314243,https://storage.googleapis.com/gisworkspace/public/imagery/historicsites/SammyDavisGardenBenches.jpg,https://storage.googleapis.com/gisworkspace/public/imagery/historicsites/SammyDavisGardenBenches.jpg
5465,Control Tower 1988,Peter Shire,Steel sculpture,Entrance to KNPR's Donald W. Reynolds broadcasting studios,1289 S Torrey Pines Dr,Originally located at McCarran International Airport; relocated with assistance by the City of Las Vegas,36.1556650662,-115.234373588,https://storage.googleapis.com/gisworkspace/public/imagery/historicsites/ControlTower.jpg,https://storage.googleapis.com/gisworkspace/public/imagery/historicsites/ControlTower.jpg
