Violation_ID,Violation_Code,Violation_Demerits,Violation_Description,ObjectId
1,1,6,Food not obtained from approved sources and/or improperly identified.,14575
2,2,6,Food spoiled or adulterated.,14576
3,3,6,"Employee(s) working with boils,infected wounds,respiratory,infections and/or other communicable diseases.,",14577
4,4,4,"Inadequate hot and cold holding equipment,improperly designed,maintained and/or operated.,",14578
5,5,10,"Hot potentially hazardous foods not rapidly cooled by approved methods.,,",14579
7,7,2,"Potentially hazardous foods improperly thawed.,",14580
8,8,3,"Potentially hazardous salads and/or fillings not made with prechilled ingredients.,",14581
9,9,2,"Perishable foods kept at improper temperature.,",14582
10,10,3,"Suitable thermometers (stem,cooler,oven) not provided and/or inadequately used.,",14583
12,12,6,"Food workers improperly washing hands after using toilet,coughing,eating,smoking,after handling raw animal products and/or otherwise contaminating their hands.Inadequatefacilities.,",14584
13,13,3,"Unsuitable hand washing facilities,unclean,inaccessible and/or not in good repair,with unapproved soap,towels and/or waste receptacles not provided.,",14585
14,14,4,"Kitchenware and/or food contact surfaces of equipment improperly cleaned,sanitized and/or air dried.,,",14586
15,15,6,"Sewage not disposed into public sewer or approved facility. Cross-connections or back siphonage present.,",14587
16,16,6,"No hot and cold running water as required and/or water not from an approved source.,",14588
17,17,2,"Fruits and vegetables improperly washed prior to serving.,",14589
18,18,1,"Foods not stored off the floor.,",14590
19,19,1,"Required labels not present on food or containers of food.Required signs not posted.,",14591
20,20,1,"Health cards not current on all food handlers.,",14592
21,21,1,"Unacceptable hygienic practices,unclean outer garments,improper hair restraints used.,",14593
22,22,1,"In-use utensils improperly handled and/or stored.,",14594
23,23,1,"Facilities for washing and sanitizing equipment and utensils unapproved,inadequate,improperly constructed,maintained and/or operated.,,",14595
24,24,1,"Accurate thermometers,chemical tests kits,and/or pressure gauges not present and/or working.,",14596
25,25,1,"Clean utensils,equipment and/or singe service items improperly handled,stored and/or dispensed.,",14597
26,26,3,"Single service items reused.,",14598
27,27,1,"Unclean wiping cloths,stored in an unapproved sanitizer,and/or unrestricted in use.,",14599
28,28,1,"Unapproved food contact surfaces. Food contact surfaces notsmooth,easily cleanable,properly constructed and/or installed.,",14600
29,29,1,"Plastic used for food contact surfaces is not of approved food grade quality.,",14601
30,30,1,"Non-food contact surfaces improperly constructed and/or installed.,",14602
31,31,1,"Non-food contact surfaces and/or cooking devices not maintained and/or unclean.,",14603
32,32,1,"Toilet facilities for employees inadequate,inconvenient,unclean and/or not in good repair.Covered trash cans not provided.Doors not self-closing.,",14604
33,33,1,"Garbage storage and/or removal inadequate and/or unclean.Garbage containers not clean,pest proof,non-absorbent and covered.Wash area unclean and/or not maintained.,",14605
34,34,3,"No effective measures to control pests.Pest control devices not maintained.,",14606
35,35,1,"Improper lighting and/or ventilation,ventilation hoods and/or filters improperly cleaned and/or maintained.,,",14607
36,36,1,"Plumbing and/or fixtures improperly sized,installed and/or maintained. Plumbing and/or fixtures improperly drained.,,",14608
37,37,1,"Floors,walls,ceilings,improperly constructed and/or installed.Not in good repair and/or clean.,,",14609
38,38,1,"Living quarters not completely separated from food service.Infant or child care allowed.Premises not maintained free of litter,unnecessary equipment and/or personal effects.,,",14610
39,39,1,"Live animals not in compliance with current Regulations.,",14611
40,40,1,"Non-compliant with Nevada Revised Statute 202.2483 regarding smoking.,",14612
61,1-Jun,6,"Poultry,poultry stuffing,stuffed meats,stuffing containing meats,casseroles containing potentially hazardous foods and/or food to be reheated containing potentially hazardous food not cooked to an internal temperature of 165°F.,",14613
62,2-Jun,6,"Ground,fabricated and/or restructured meats not cooked throughout to 155&deg,F.,",14614
63,3-Jun,6,"Pork and/or any food containing pork,not cooked to an internal temperature of 155&deg,F or above.,",14615
64,4-Jun,6,"Potentially hazardous foods not kept at 40&deg,F or colder or at 140&deg,F or hotter,except during necessary preparation procedures.,,",14616
111,1-Nov,4,"Food unprotected from cross-contamination by raw meats,poultry,fish,seafood and/or raw eggs.,,",14617
112,2-Nov,4,"Food unprotected from cross-contamination by food handlers.,",14618
113,3-Nov,4,"Food unprotected from cross-contamination by chemicals.,",14619
114,4-Nov,4,"Food unprotected by cross-contamination by proper storage.,",14620
201,1,5,"Verifiable time as a control with approved procedure when in use. Operational plan,HACCP plan,waiver or variance approved and followed when required. Nevada Clean Indoor Air Act compliant.,",14621
202,2,5,"Handwashing (as required,when required,proper glove use,no bare hand contact of ready to eat foods).Foodhandler health restrictions as required.,,",14622
203,3,5,"Commercially manufactured food from approved source with required labels. Parasite destruction as required. Potentially hazardous foods/time temperature control for safety (PHF/TCS) received at proper temperature.,",14623
204,4,5,"Hot and cold running water from approved source as required.,",14624
205,5,5,"Imminently dangerous cross connection or backflow.Waste water and sewage disposed into public sewer or approved facility.,",14625
206,6,5,"Food wholesome,not spoiled,contaminated,or adulterated.,,",14626
207,7,5,"PHF/TCSs cooked and reheated to proper temperatures.,",14627
208,8,5,"PHF/TCSs properly cooled.,",14628
209,9,5,"PHF/TCSs at proper temperatures during storage,display,service,transport,and holding. ,",14629
210,10,5,"Operating within the parameters of the health permit.,",14630
211,11,3,"Food protected from potential contamination during storage and preparation.,",14631
212,12,3,"Food protected from potential contamination by chemicals. Toxic items properly labeled,stored and used.,,",14632
213,13,3,"Food protected from potential contamination by employees and consumers.,",14633
214,14,3,"Kitchenware and food contact surfaces of equipment properly washed,rinsed,sanitized and air dried.Sanitizer solution provided and maintained as required.,",14634
215,15,3,"Handwashing facilities adequate in number,stocked,accessible,and limited to handwashing only.,,",14635
216,16,3,"Effective pest control measures. Animals restricted as required.,",14636
